""	0
"I manage the investment group"	123
"Indian People in Natal"	124
"Inside Out"	125
"Irawo"	126
"Irawo" single	127
"Ironiclast"	128
"It is something that should not have been on board and we removed it immediately we became aware of it"	129
"It's the Most Wonderful Time of the Year"	130
"JAG"	131
"Just Looking"	132
"Kazaam"	133
"Kinetic Karnival"	134
"Krakatuk"	135
"Kurier Poznański"	136
"Kurier Wileński"	137
"L'Argent"	138
"L'Écho de l'Ouest"	139
"La Brigade Sauvage"	140
"La Danseuse Rouge"	141
"La Revue Légale"	142
"La Voix Sans Visage"	143
"Lamido Fumbina"	144
"Le Batelier de la Volga"	145
"Le Courrier de Richelieu"	146
"Leave It to Beaver" television series	147
"Lettered One"	148
"Leverage"	149
"Life" magazine	150
"Linger"	151
"Live"	152
"Live" album	153
"Local Boy in the Photograph"	154
"Lord of War"	155
"Lord of the Rings" board game	156
"Love Hurts"	157
"Love in the Ruins"	158
"Magic: The Gathering" collectible card game	159
"Mal Habillée"	160
"Mal Habillée" in June 2012	161
"Maxwell Smart"	162
"Mazepa Ballets"	163
"Mchale's Navy"	164
"Men of a Certain Age"	165
"Mi Burrito"	166
"Mildred Pierce"	167
"Missile Man of India"	168
"Modibo"	169
"Monkey"	170
"Mono Band"	171
"Mono Band" album	172
"More Life in a Tramps Vest"	173
"Mr. March" among active coaches	174
"Murder"	175
"Muzyka"	176
"My Name is Earl"	177
"NOFX: Backstage Passport"	178
"NYPD Blue"	179
"Neverbird"	180
"New York Times" best seller list	181
"No Reservations" concert DVD	182
"No Room for a Stranger"	183
"Nothing in Common"	184
"Nutters of Savile Row"	185
"Nutters of Savile Row" in 1969	186
"Once and Again"	187
"One Way Drive"	188
"Open All Hours"	189
"Out of Sight"	190
"Pan Am"	191
"Passage"	192
"Pax Am Days"	193
"People Got to Be Free"	194
"People's President"	195
"Performance and Cocktails"	196
"Persons Unknown"	197
"Phyllis and Harold"	198
"Pick a Part That's New"	199
"Plata o Plomo" EP	200
"Plata o Plomo" EP reissue	201
"Play the Game Tonight"	202
"Pokhran-II" nuclear tests	203
"Porridge"	204
"Prefontaine"	205
"Pretty Persuasion"	206
"Prince Regent"	207
"Prison Break"	208
"Producer of the Year"	209
"Psychocandy"	210
"Pull the Pin"	211
"Punk in Drublic"	212
"Rag Doll"	213
"Ragga Ragga"	214
"Ragga Ragga" single	215
"Ramona and Beezus"	216
"Rapports Judiciaires Révisés de la Province de Québec"	217
"Revenge of the Cybermen"	218
"Ride"	219
"Robin of Sherwood"	220
"Ruler of the Southlands"	221
"Running with Scissors"	222
"Salt"	223
"Sapphire and Steel" adventures	224
"Savage Grace"	225
"Save Rock and Roll"	226
"Scientific American" magazine	227
"Scrubs"	228
"Second Bureau"	229
"Secrets of Cindy"	230
"Seeing New York"	231
"Seeking a Friend for the End of the World"	232
"Self Entitled"	233
"Sept Hommes... Une Femme"	234
"Serendipity"	235
"Seventeen"	236
"Sex and the City"	237
"Six Degrees"	238
"Skies of Venice"	239
"Slap Shot"	240
"Smuggler"	241
"Snub TV"	242
"Songs About Fucking"	243
"Spinning Around the Sun" on "Uptown Girls" soundtrack	244
"Stanley's Dragon"	245
"Stealing Harvard"	246
"Stellar Harvest"	247
"Straight Lines"	248
"Sundhedsplejerske"	249
"Sunset Strip"	250
"Super Mario"	251
"Surrender Dorothy"	252
"Sweetheart Rodeo"	253
"Take Me Back to Your House"	254
"Tamara La Complaisante"	255
"The Adventures of Black Beauty"	256
"The Bartender and the Thief"	257
"The Bernie Mac Show"	258
"The Big Lebowski"	259
"The Borrowers"	260
"The Bowmans"	261
"The Boy from Space"	262
"The Buffalo Synod"	263
"The Color of Money"	264
"The Cure for Bad Deeds"	265
"The Cure for Bad Deeds" expanded version	266
"The Dark Angel"	267
"The Famous Five"	268
"The Father of the Baltimore Orioles"	269
"The Fight Against Slavery"	270
"The Frost Report"	271
"The Ghosts of Motley Hall"	272
"The Hobbit"	273
"The Hobbit" films	274
"The Ides of March"	275
"The Insider"	276
"The Jearl Walker Outstanding Teaching Award"	277
"The King's Dragon"	278
"The Laramie Project"	279
"The Life and Legend of Wyatt Earp"	280
"The Liscio Report"	281
"The Liscio Report" in 1992	282
"The Lord of the Rings"	283
"The Love School"	284
"The Magnificent Evans"	285
"The Muslim"	286
"The Navy Lark"	287
"The Odd Couple"	288
"The Passing Show of 1914"	289
"The Peacock and the Girl"	290
"The Poseidon Adventure"	291
"The Private Life of Henry VIII"	292
"The Recruit"	293
"The Return of the Borrowers"	294
"The Rifleman"	295
"The Rise of the Scholars"	296
"The Robots of Death"	297
"The Savage Nation"	298
"The Scarlet Pimpernel"	299
"The Silmarillion"	300
"The Sum of All Fears"	301
"The Swazi: A South African Kingdom"	302
"The Synod of the Lutheran Church Emigrated from Prussia"	303
"The Tonight Show Starring Johnny Carson"	304
"The Two Ronnies"	305
"The Uniform of Colour: A Study of White--Black Relationships in Swaziland"	306
"The Verdict"	307
"The Winjin' Pom"	308
"The Wrestler"	309
"The X-Files"	310
"The forename in the original citation was subsequently corrected"	311
"Theodor Gentlemen"	312
"They'll Make You Cry"	313
"Thirteen"	314
"Thoth is born"	315
"Til Death Do Us Part"	316
"Time Change"	317
"Tommy Nutter" trademark	318
"Too late"	319
"True Blood"	320
"True Lies"	321
"Trust-Me Trousers"	322
"Two Three Four"	323
"Tygodnik Wileński"	324
"U.S. News & World Report"	325
"Unplaceables"	326
"What's with Poland?"	327
"Whatever Works"	328
"White Lies"	329
"Why Do Fools Fall in Love"	330
"Wide Open"	331
"Will & Grace"	332
"Winger" and "In the Heart of the Young"	333
"Winnebago Generator"	334
"Winnebago Generator" moniker	335
"Withered on the Vine"	336
"Women & Songs" compilations	337
"Word Gets Around"	338
"Wuthering Heights"	339
"Wydarzenia"	340
"You Will See"	341
"Z-Cars"	342
"Zombie"	343
"a one man climbing school"	344
"classic UK rock delivered with whiskey vocals"	345
"divine blood"	346
"divine hero"	347
"double" in 1961	348
"double" of League Championship and FA Cup	349
"fostering extremism or hatred"	350
"golden age" of Norwegian painting	351
"idiographic"	352
"image size variation"	353
"likes people too much and is too enthusiastic"	354
"more of a poet than almost any of those who are writing theatre in verse at the moment"	355
"nomothetic"	356
"nomothetic" and "idiographic"	357
"peacock look" to men's fashion	358
"psycho-emotional instrument"	359
"slap" technique	360
"so much money comes into Odisha for Christian missionary efforts"	361
"super sub"	362
"the Fair"	363
"the Handsome"	364
"the Prince of Monaco should return to his estates"	365
"the father of Norwegian landscape painting"	366
"to understand Kant rightly means to go beyond him"	367
"undisclosed reasons"	368
#157 in February 1998	369
$23 million as of 2012	370
$256.8 million	371
$56.4 million	372
.196	373
.200	374
.213	375
.239	376
.245	377
.250	378
.253	379
.276	380
.286	381
.292	382
.301	383
.309	384
.310	385
.323	386
.420	387
.448	388
.45 in shoulder holster	389
.544	390
.968 fielding percentage	391
0-4	392
0.78 seconds faster than previous	393
000	394
1	395
1 April 1947	396
1 April 1956	397
1 February 1980	398
1 February 2009	399
1 January 1895	400
1 January 1928	401
1 game in 1886	402
1.61	403
10 African countries	404
10 February 1952	405
10 January 1963	406
10 March 1928	407
10 November 1720	408
10 September 1985	409
10 games in 1991	410
10 seasons	411
10 years	412
10-page photo essay on story	413
10.7	414
1000 m in 2002 Winter Olympics	415
1000 m in 2006 Winter Olympics	416
101 tests	417
104	418
104 league appearances for Aberdeen	419
106	420
108	421
10th overall	422
10th round	423
11	424
11 January 1925	425
11 July 1890	426
11 March 1916	427
11 May 1917	428
11 October 1866	429
11 seasons	430
11.0	431
11.50	432
111	433
1129	434
1158	435
1180 to 1223	436
1190	437
1195	438
1197	439
119–121	440
11th President of India	441
11th President of India in 2002	442
11th SS Artillery Regiment	443
11th SS Panzergrenadier Division "Norland"	444
11th round	445
12	446
12 August 2004	447
12 August 2005	448
12 December 1988	449
12 February 2003	450
12 February 2010	451
12 June 1939	452
12 June 1956	453
12 March 1795	454
12 March 1948	455
12 May 1948	456
12 May 2008	457
12 November 1709	458
12 November 1788	459
12.2 points per game	460
12.23	461
12.7	462
12.9 points per game in first season at UCLA	463
120	464
128	465
128 lb.	466
1290	467
1298	468
12th Chogyal (King) of Sikkim	469
12th in all-around	470
13	471
13 May 1948	472
13 May 1992	473
13 November 1982	474
13 October 1131	475
13 September 1896	476
13 years	477
1303	478
132	479
13th	480
14	481
14 August 1929	482
14 December 1907	483
14 July 1937	484
14 July 1971	485
14 November 1758	486
14 October 1720	487
14 October 1857	488
14 October 1957	489
14 aerial victories	490
14 when joined The Donnas	491
14.675 on uneven bars at Toyota International	492
141e Regiment d'Infanterie	493
143.965	494
143rd overall	495
145	496
149 after 36-hole playoff	497
15	498
15 April 1912	499
15 April 1977	500
15 December 1914	501
15 December 2010	502
15 February 1795	503
15 February 1910	504
15 February 2004	505
15 July 1777	506
15 March 1848	507
15 October 1931	508
15 September 2018	509
15 books	510
15 world championship gold medals	511
15 years old	512
1500 m in 2002 Winter Olympics	513
1500 m in Nagano	514
1500-meter freestyle at major international competition	515
1510	516
1523	517
1525	518
153.689	519
1543	520
1543-1588	521
1545	522
1545 to 1555	523
1550	524
1555	525
1560	526
1564	527
1585	528
1585 expedition to Roanoke Island	529
1588	530
16	531
16 April 1943	532
16 February 1819	533
16 June 1881	534
16 June 1947	535
16 November 1857	536
16 November 2006	537
16 November 2011	538
16 interceptions	539
16 wickets in 1990–91 Ashes series	540
16 years	541
16-for-80	542
167	543
168	544
17	545
17 April 1886	546
17 April 1934	547
17 April 1942	548
17 April 1943	549
17 August 1992	550
17 June 1834	551
17 May 1758	552
17 October 1957	553
17 September 1938	554
17 years	555
17-15	556
170 test wickets	557
1708–1794	558
1714	559
1714–1716	560
1716–1741	561
172nd overall	562
1731	563
1732	564
1732 to 1784	565
1733	566
1737	567
1745	568
1760	569
1765 to 1767	570
1768	571
1774 to 1776	572
1776	573
1778	574
1781	575
1782	576
1784	577
1784 "Johannes Passion" of Carl Philipp Emanuel Bach	578
1785	579
1793	580
1794	581
1798	582
17th	583
18	584
18 April 1868	585
18 April 1948	586
18 December 1966	587
18 July 1827	588
18 July 1983	589
18 July 2006	590
18 November 1975	591
18 September 1915	592
18 scoring records at Orange Coast College	593
18 touchdowns	594
1809 - 1818	595
1809 to 1810	596
1816	597
1817	598
1817 book Beiträge zur Entwickelungsgeschichte des Hühnereies	599
1818 - 1825	600
1819	601
1820	602
1823	603
1824	604
1825	605
1825 - 1829	606
1826	607
1827–1842	608
1830	609
1831–1864	610
1838	611
1841	612
1842	613
1842 to 1864	614
1844	615
1845	616
1847	617
1848	618
1850	619
1851	620
1851 to 1853	621
1851–1922	622
1852	623
1853	624
1854	625
1854-1855	626
1855	627
1856	628
1856-1859	629
1858	630
1859	631
1860	632
1860 Republican National Convention	633
1860s	634
1862	635
1863	636
1864	637
1865	638
1866	639
1867	640
1868	641
1869	642
1870s	643
1871	644
1871 season	645
1872	646
1872 to 1874	647
1873	648
1874	649
1874–1875	650
1875	651
1876	652
1876 to 1882	653
1877	654
1878	655
1879	656
1880	657
1880 Democratic National Convention	658
1880s	659
1881	660
1881 to 1891	661
1881-1883	662
1882	663
1883	664
1884	665
1884 Cubs	666
1884 Democratic National Convention	667
1885	668
1885 and 1886	669
1886	670
1886 to 1915	671
1887	672
1887 Orioles	673
1888	674
1888 to 1896	675
1889	676
1890	677
1890s	678
1890–1956	679
1890–1962	680
1891	681
1891 season	682
1891 to 1905	683
1891 to 1922	684
1892	685
1892 season	686
1893	687
1893 to 1900	688
1893–1894	689
1894	690
1894 to 1897	691
1894–1984	692
1895	693
1895 season	694
1896	695
1897	696
1897 Melbourne Test	697
1897–1898	698
1898	699
1898 to 1900	700
1899	701
19	702
19 April 1925	703
19 April 1988	704
19 December 1967	705
19 February 1911	706
19 February 2015	707
19 June 1980	708
19 March 1943	709
19 March 1980	710
19 November 1894	711
19 September 1918	712
19 games with St. Louis Hawks	713
19.3	714
1900	715
1900 federal election	716
1900 to 1904	717
1900–1903	718
1901	719
1901 by-election	720
1904	721
1904 to 1906	722
1904–1912	723
1905	724
1906	725
1906 and 1911	726
1906 to 1917	727
1907	728
1907 to 1911	729
1907 until 1949	730
1907–1954	731
1908	732
1908–1909	733
1908–2002	734
1909	735
1910	736
1910-1912	737
1910s	738
1910–1911	739
1911	740
1911 to 1922	741
1912	742
1912–1913	743
1913	744
1913 Peacock Girl with the Ziegfeld Follies	745
1913–1914	746
1914	747
1915	748
1915 to 1944	749
1916	750
1917	751
1917 to 1939	752
1918	753
1919	754
1920	755
1920s	756
1920s and 1930s	757
1920–1922 and 1925–1932	758
1921	759
1921 federal election	760
1921 to 1922	761
1921 to 1935	762
1922	763
1922 to 1931	764
1923	765
1923–1926 and 1929–1932	766
1924	767
1925	768
1926	769
1926 Alberta general election	770
1927	771
1927 Florida Education Act	772
1928	773
1929	774
1930	775
1930 Alberta general election	776
1930s	777
1931	778
1931 and 1944	779
1932	780
1932 to 1939	781
1933	782
1933 Ryder Cup team	783
1933–1945	784
1934	785
1934 and 1952	786
1935	787
1935–1936	788
1936	789
1936 and 1940	790
1937	791
1937 to 1940	792
1938	793
1938–1948	794
1939	795
1940	796
1940 effort to make Alaska an international Jewish homeland	797
1940 to 1942	798
1940s	799
1940s and early 1950s	800
1941	801
1941 to 1945	802
1942	803
1942 home run	804
1942 to 1945	805
1943	806
1944	807
1944–2007	808
1945	809
1945–1953	810
1946	811
1947	812
1947 TT	813
1947 to 1952	814
1947-48 Wildcats team	815
1948	816
1949	817
1949 and 1951	818
1949–1951	819
1950	820
1950 Brisbane Carnival	821
1950 to 1963	822
1950s	823
1950s music	824
1951	825
1951 or 1952	826
1951.1 innings	827
1952	828
1952 to 1956	829
1952 to 1957	830
1953	831
1954	832
1954 NBA draft	833
1954 and 1956	834
1955	835
1956	836
1956 to 1966	837
1956 to 1984	838
1957	839
1957-58 South African domestic season	840
1958	841
1958 World Cup	842
1959	843
1959 to 1971	844
1960	845
1960 New Brunswick general election	846
1960 Summer Olympics	847
1960s	848
1961	849
1962	850
1962 to 1968	851
1962 to 1998	852
1962–1963	853
1963	854
1963 NFL Draft	855
1963-1965	856
1964	857
1964 and 1965	858
1964 to 1966	859
1964-1965 Boston Celtics team	860
1964–1970	861
1965	862
1965 U.S. Clay Court Championships	863
1965 to 1967	864
1965–1971	865
1966	866
1966 French Championships	867
1966 U.S. Indoor Championships	868
1966 Wimbledon Championships	869
1967	870
1967 European Cup Final	871
1967 National Professional Soccer League season	872
1967 and 1968	873
1967 film adaptation of the novel The Prisoner	874
1967 to 1969	875
1967–2004	876
1968	877
1968 Olympic trials team	878
1968 Summer Olympics	879
1968 to 1985	880
1968-1971	881
1969	882
1969-1971	883
1970	884
1970 film musical adaptation of "Scrooge"	885
1970 to 1976	886
1970s	887
1971	888
1971 Universal Pictures movie "How to Frame a Figg"	889
1971 film adaptation of the novel The Power Game	890
1971 to 1975	891
1971 to 1987	892
1971-1972	893
1972	894
1972 revival of "Much Ado About Nothing"	895
1973	896
1973 to 1997	897
1973-1974	898
1973–1985	899
1974	900
1974 FIFA World Cup	901
1974 election	902
1974 self-titled debut album	903
1974 to 1977	904
1974-75 sophomore season	905
1974–1977	906
1975	907
1975 Beau Brummels reunion album	908
1975 WHA Amateur Draft	909
1975 amateur draft	910
1975 to 1985	911
1976	912
1976 to 1985	913
1976-77	914
1976-77 All-Ivy League First Team	915
1976–78	916
1977	917
1977 to 1985	918
1978	919
1978 and 1979	920
1978 to 1990	921
1979	922
1979 and 1985	923
1979 and 1991	924
1979 to 2015	925
1979-1988	926
1979–82	927
1980	928
1980s	929
1981	930
1982	931
1982 edition of Almanack	932
1982–83 European Cup Winners' Cup	933
1983	934
1983 European Super Cup	935
1983 and 1985	936
1983 made-for-television reunion movie "Still the Beaver"	937
1983 to 1988	938
1983 to 1997	939
1984	940
1984 Summer Olympics	941
1984 and 1986	942
1984 film "Places in the Heart"	943
1984 national championship team at Bowling Green	944
1984 to 1986	945
1985	946
1985 to 1998	947
1985-1998	948
1986	949
1986 State of Origin series	950
1986 to 1990	951
1987	952
1987 State of Origin series	953
1987 World Cup final	954
1987 paper by Michael Replogle	955
1988	956
1988 murder of Janine Balding	957
1988-1993	958
1989	959
1989 World Series title	960
1989 to 1993	961
1989-1990	962
1989–90 Second Division league title	963
1990	964
1990 Miss USA pageant	965
1990 World Series	966
1990 election	967
1990 to 1996	968
1990-1991	969
1990s	970
1990s TV series HRT	971
1990–91 Ashes series	972
1991	973
1991 Leyland Daf Cup Final	974
1991 Leyland Daf Cup Final against Birmingham City	975
1991 to 1993	976
1991–92 First Division league title	977
1992	978
1992 Division 3 Playoff semi-final against Huddersfield Town	979
1992 to 2003	980
1992–2003	981
1993	982
1994	983
1994 episode of Mystery Science Theater 3000	984
1994 to 1997	985
1994 to 2000	986
1995	987
1995 NFL playoffs	988
1995 Rookie of the Year Award	989
1995 Scottish Cup Final	990
1995 to 2004	991
1995-1998	992
1995–1996	993
1995–96	994
1996	995
1996 World Cup of Hockey	996
1996 election	997
1996 to 2003	998
1996-1997	999
1996-1998	1000
1997	1001
1997 FA Cup Final	1002
1997 Men's World Ice Hockey Championships	1003
1997 general election	1004
1997 to 2001	1005
1997 to 2004	1006
1997 to 2005	1007
1997 to 2010	1008
1997–2004	1009
1998	1010
1998 NBA draft	1011
1998 Winter Olympics	1012
1998 biographical television film Gia	1013
1998 during Bill Tobin's time	1014
1998 to 2000	1015
1999	1016
1999 New South Wales election	1017
1999 soundtrack to "The Mod Squad"	1018
1999 to 2003	1019
1999 to 2004	1020
1999–2002	1021
19th Annual Japan Academy Prize Ceremonies	1022
19th century baseball teams	1023
1:07.37	1024
1:10.87	1025
1:49.71	1026
1:51.47	1027
1:52.25 to break the record at 1500 m	1028
1st Baron Aylmer	1029
1st Baron Tedder	1030
1st runner-up in 1990 Miss USA pageant	1031
1–0 to Arsenal	1032
2	1033
2 August 1995	1034
2 July 1621	1035
2 for 11	1036
2-0 against Cincinnati Red Stockings	1037
2-1	1038
2.2	1039
2.39	1040
2.7	1041
2.87	1042
20	1043
20 April 1802	1044
20 April 1914	1045
20 April 1928	1046
20 July 1917	1047
20 May 1732	1048
20 May 2005	1049
20 October 1988	1050
20 September 1793	1051
20 questions seeking opinions from the general public	1052
20 years	1053
20 years old at the time of the 1990 pageant	1054
200 appearances for Norwich City	1055
200 appearances for Rangers	1056
200 appearances for Wolverhampton Wanderers	1057
200 appearances for Željezničar	1058
200 appearances in Scottish Football League	1059
200 members of the Vagos Motorcycle Club	1060
200 panchayats across Kerala	1061
200-meter freestyle (long course)	1062
200-meter freestyle at major international competition	1063
200-meter individual medley	1064
200-meter individual medley at the 2004 Summer Olympics	1065
200-meter individual medley at the 2008 Summer Olympics	1066
200-metre breaststroke at the 2012 Canadian Olympic Trials	1067
200-yard butterfly in 1985	1068
200-yard butterfly in 1986	1069
2000	1070
2000 Summer Olympics	1071
2000 U.S. Olympic swim team	1072
2000 until April 2014	1073
2001	1074
2001 B.C. election	1075
2001 NCAA championship team	1076
2001 Old Tom Morris Award	1077
2001 election	1078
2001 provincial election	1079
2001 report by Yedioth Ahronoth	1080
2001 to 2005	1081
2001 to 2006	1082
2001 to 2013	1083
2001 to 2017	1084
2001–02 Toronto Raptors team	1085
2002	1086
2002 Winter Olympics	1087
2002 to 2005	1088
2003	1089
2003 FA Cup Final	1090
2003 Football League First Division play-off final	1091
2003 Football League First Division play-off final winner	1092
2003 Nettwerk compilation album "Maybe This Christmas Too?"	1093
2003 Olivier Award for Best New Musical	1094
2003 provincial election	1095
2003 to 2006	1096
2003 to 2007	1097
2004	1098
2004 Athens Olympics	1099
2004 and 2006	1100
2004 production of "I Am My Own Wife"	1101
2004 series of Monarch of the Glen	1102
2004 to 2007	1103
2004/2005	1104
2004–05 season	1105
2004–2009	1106
2004–2012	1107
2005	1108
2005 B.C. election	1109
2005 general election	1110
2005 provincial election	1111
2005 to 2009	1112
2005 to 2010	1113
2006	1114
2006 Basement Jaxx single "Take Me Back to Your House"	1115
2006 Patriot League Player of the Year	1116
2006 Winter Olympics	1117
2006 to 2007	1118
2006–07	1119
2007	1120
2007 New South Wales state election	1121
2007 SPFA Player of the Year Award	1122
2007 Toulon Tournament at under-20 level	1123
2007 Toulon Tournament final	1124
2007 US National Championships	1125
2007 election	1126
2007 to 2010	1127
2007 to 2018	1128
2007/08	1129
2008	1130
2008 FIM Superstock 1000 Championship	1131
2008 Libertarian National Convention	1132
2008 Libertarian Party vice presidential candidate	1133
2008 Libertarian Party vice-presidential nominee	1134
2008 Summer Olympics	1135
2008 US National Championships	1136
2008 US Olympic Team Trials	1137
2008 United States presidential election	1138
2008 election	1139
2008 season	1140
2008–09 Luge World Cup	1141
2008–2009 season	1142
2008–2014	1143
2009	1144
2009 European Superstock 600 Championship	1145
2009 FIM Superstock 1000 Championship	1146
2009 Junior World Champion	1147
2009 World Baseball Classic	1148
2009 election	1149
2009 provincial election	1150
2009 round-robin season	1151
2009 season	1152
2009 season well	1153
2009 to 2011	1154
2009 to 2012	1155
2009–10 season	1156
2009–2010 season	1157
2009–present	1158
2010	1159
2010 City of Jesolo Trophy	1160
2010 CoverGirl Classic	1161
2010 European Superstock 600 Championship	1162
2010 FIM Superstock 1000 Championship	1163
2010 NFL Draft	1164
2010 Olivier Award for Best New Musical	1165
2010 Summer Youth Olympics	1166
2010 US National Championships	1167
2010 WPS Draft	1168
2010 general election	1169
2010 season	1170
2011	1171
2011 Canadian Swimming Championships in the 100-metre breaststroke	1172
2011 FIM Superstock 1000 Championship	1173
2011 FIM Superstock 1000 Cup	1174
2011 NBA draft	1175
2011 World Series title	1176
2011 season	1177
2011 to 2013	1178
2012	1179
2012 AFL Media Awards	1180
2012 Canadian Olympic Trials	1181
2012 Canadian Olympic Trials in the 100-metre breaststroke	1182
2012 FA WSL season	1183
2012 FIM Superstock 1000 Championship	1184
2012 FIM Superstock 1000 Cup championship	1185
2012 Summer Olympics	1186
2012 WPS Draft	1187
2012 season	1188
2012 to 2014	1189
2012-13 season	1190
2012–13	1191
2013	1192
2013 American League Cy Young Award	1193
2013 FIM Superstock 1000 Championship	1194
2013 IPL auctions	1195
2013 W-League season	1196
2013 provincial election	1197
2013 to 2014	1198
2013–14 Premier League Tournament	1199
2014	1200
2014 AFL Rising Star Award	1201
2014 ESPY Awards	1202
2014 FIFA World Cup	1203
2014 FIM Superstock 1000 Cup champion	1204
2014 FIM Superstock 1000 Cup championship	1205
2014–15 Premier Limited Overs Tournament	1206
2015	1207
2015 Archibald Prize	1208
2015 FIFA Women's World Cup	1209
2015 season	1210
2016	1211
2016 Summer Olympics	1212
2017	1213
2017 provincial election	1214
2018	1215
2018 ACC Emerging Teams Asia Cup	1216
2018 AFC Women's Asian Cup	1217
2018 Asia Cup	1218
2018 FIFA World Cup	1219
2018 general election	1220
2019	1221
2019 FIFA Women's World Cup	1222
202 Allied aircraft destroyed	1223
2020 general election	1224
208 of 336 passes	1225
20th century	1226
21 December 1985	1227
21 July 1915	1228
21 June 1915	1229
21 June 1984	1230
21 March 1795	1231
21-for-83	1232
211	1233
22	1234
22 August 1962	1235
22 February 1863	1236
22 June 1964	1237
22 May 1828	1238
22 November 1937	1239
22 September 1865	1240
23	1241
23 August 1911	1242
23 February 1795	1243
23 July 1741	1244
23 July 1948	1245
23 March 1922	1246
23 May 1965	1247
23 November 1979	1248
234	1249
235 episodes	1250
23rd overall	1251
24	1252
24 Hours of Le Mans	1253
24 July 1794	1254
24 June 1195	1255
24 May 1988	1256
24 May 2007	1257
24 October 1957	1258
24 September 1954	1259
24 years old	1260
24-year-old Palestinian man	1261
241	1262
25	1263
25 December 1971	1264
25 December 1988	1265
25 January 1918	1266
25 May 1717	1267
25 November 1988	1268
25 September 1929	1269
25 games in 2006-07 season	1270
25 in 1550	1271
25-6 in 1989	1272
25-6 in 1990	1273
25th Premier of Quebec	1274
26	1275
26 December 1976	1276
26 February 2012	1277
26 January 1917	1278
26 July 1609	1279
26 May 1968	1280
26 goals in league matches for Aberdeen	1281
26 hours	1282
26 points per game at Orange Coast College	1283
26th Annual Japan Academy Prize Ceremonies	1284
27	1285
27 January 1893	1286
27 July 2015	1287
27 September 1915	1288
270	1289
28	1290
28 April 1932	1291
28 April 1945	1292
28 April 1952	1293
28 April 1956	1294
28 April 1962	1295
28 April 1964	1296
28 April 1965	1297
28 April 1971	1298
28 April 1972	1299
28 April 1977	1300
28 April 1988	1301
28 April 1992	1302
28 April 2014	1303
28 April 2017	1304
28 August 1845	1305
28 August 1950	1306
28 August 1951	1307
28 August 1956	1308
28 August 1965	1309
28 August 1975	1310
