head	tail	relation
Time to Kill	Nicolas Cage	cast member
Time to Kill	Ricky Tognazzi	cast member
Time to Kill	Giancarlo Giannini	cast member
Time to Kill	Giuliano Montaldo	director
Time to Kill	1936	formalization date
Ethiopia	1936	date of end of operations
Ethiopia	Italian colony	part of
Time to Kill	Zimbabwe	location of filming
Time to Kill	novel with the same name written by Ennio Flaiano	is based on
The Family Man	American romantic comedy-drama film	instance of game
The Family Man	Brett Ratner	director
The Family Man	David Diamond	original screenplay author
The Family Man	David Weissman	original screenplay author
The Family Man	Téa Leoni	cast member
The Family Man	a man who sees what could have been had he made a different decision 13 years prior	plot
Guns N' Roses	American hard rock band	instance of game
Guns N' Roses	1985	inception
Guns N' Roses	Hollywood Rose	followed by
Guns N' Roses	L.A. Guns	followed by
Guns N' Roses	six	number of albums released
Guns N' Roses	two	number of albums released
Guns N' Roses	two	number of albums released
Guns N' Roses	two	number of games played
Guns N' Roses	seven	number of albums released
Guns N' Roses	eighteen	number of singles
Guns N' Roses	twenty four	number of charted singles
Guns N' Roses	one	number of singles
Guns N' Roses	Geffen Records	record label
Guns N' Roses	1986	inception
Live ?! *@ Like a Suicide	Guns N' Roses	publisher
1987	"Live ?! *@ Like a Suicide"	publication time
Guns N' Roses	"Appetite for Destruction"	record label
"Appetite for Destruction"	1987	publication time
"Appetite for Destruction"	"Billboard" 200	chart position
"Appetite for Destruction"	18 million units	number of sales
"Appetite for Destruction"	33 million units	sales (worldwide)
Get Christie Love!	1974 made-for-television film	instance of game
Get Christie Love!	crime drama TV series	instance of game
Get Christie Love!	Teresa Graves	cast member
Teresa Graves	undercover female police detective	role
undercover female police detective	overthrow a drug ring	goal
Get Christie Love!	Dorothy Uhnak's crime-thriller novel "The Ledger"	is based on
Get Christie Love!	"Christie Opara"	character concept
"Christie Opara"	"Christie Love"	replaces
End of Days	1999 American fantasy action horror thriller film	instance of game
End of Days	Peter Hyams	director
End of Days	Arnold Schwarzenegger	cast member
End of Days	Gabriel Byrne	cast member
End of Days	Robin Tunney	cast member
End of Days	Kevin Pollak	cast member
End of Days	Rod Steiger	cast member
End of Days	CCH Pounder	cast member
End of Days	Udo Kier	cast member
End of Days	Jericho Cane	protagonist role
Jericho Cane	former New York Police Department detective	instance of game
Jericho Cane	Arnold Schwarzenegger	voice character
Jericho Cane	a banker	protagonist role
a banker	Gabriel Byrne	voice character
Pershing Square Capital Management	American hedge fund management company	instance of game
Pershing Square Capital Management	Bill Ackman	founder
Pershing Square Capital Management	888 7th Avenue in New York	headquarters location
Loan modification	systematic alteration of mortgage loan agreements	instance of game
systematic alteration of mortgage loan agreements	those having problems making the payments	helps
systematic alteration of mortgage loan agreements	reducing interest rates	involved
systematic alteration of mortgage loan agreements	reducing monthly payments	involved
systematic alteration of mortgage loan agreements	reducing principal balances	involved
Lending institutions	one or more of these changes	performed in
one or more of these changes	financial pressure on borrowers	assisted
one or more of these changes	foreclosure	prevents damage to
Loan modifications	United States	country participating
Loan modifications	The 2008 Crash Of The Housing Market	practice of
The 2008 Crash Of The Housing Market	Washington Mutual	contributor to work
The 2008 Crash Of The Housing Market	Chase Home Finance	contributor to work
Chase	The 2008 Crash Of The Housing Market	contributor to
JP Morgan & Chase	The 2008 Crash Of The Housing Market	contributor to
MER's	The 2008 Crash Of The Housing Market	contributor to
loan modification	Crimes of Mortgage ad Real Estate Staff	subject of
The United States Department of Housing	Modification owners	issued by
The United States IRS	Modification owners	issued by
Modification owners	Barack Obama	recipient of
President Obamas letters	various departments	pertains to
President Obamas letters	the Democratic process	wanted
the Democratic process	Modification owners keep their homes	enables
the Democratic process	Modification owners from explosion	used to protect
Modifications	birth of Modifications	instance of game
note holders form the Midwest	the Democratic Process	contacted
note holders form the Midwest	assistance	wanted
FBI Mortgage Fraud Department	existence	time of creation
Note holders	Modifications HMAP HARP	was established to benefit
Modifications HMAP HARP	Reduced mortgage terms	resulted in continuation of
Modifications HMAP HARP	Legalized terms	resulted in continuation of
Modification of mortgage terms	IRS staff	introduced in
Modification of mortgage terms	HAMP TEAMS	presented in
HAMP TEAMS	United States	operated in
HAMP TEAMS	New products	wanted
New products	Homeowners who were victims of predatory lending practices	assisted
New products	Unethical staff	assisted
New products	Brokers	assisted
New products	Attorneys	assisted
New products	Lenders who contributed to the crash	assisted
Modification	Fix to the crash	instance of game
Modification	Litigation	resulted in continuation of
Lending institutions	Lenders	reorganization occurred
Sir Matt Busby Sports Complex	public leisure centre	instance of game
Sir Matt Busby Sports Complex	Sir Matt Busby	honored with
Sir Matt Busby	Bellshill	place of birth
Sir Matt Busby	Manchester United	manager
Sir Matt Busby	1994	date of killing
1995–96 Manchester United F.C. season	fourth season in the Premier League	part of the sporting event
1995–96 Manchester United F.C. season	21st consecutive season in the top division of English football	part of the sporting event
Manchester United	becoming the first English team to win the Double twice	achievement
Paul Ince	Alex Ferguson	signed player
Mark Hughes	Alex Ferguson	signed player
Andrei Kanchelskis	Alex Ferguson	signed player
Nicky Butt	Alex Ferguson	recruited by
David Beckham	Alex Ferguson	recruited by
Paul Scholes	Alex Ferguson	recruited by
Neville brothers	Alex Ferguson	recruited by
Gary Neville	Phil Neville	spouse
Alex Ferguson	31 December 1941	year of birth
Alex Ferguson	Scottish former football manager and player	description
Manchester United	Alex Ferguson	manager
David Beckham Academy	football school	instance of game
David Beckham Academy	David Beckham	founded by
David Beckham Academy	October 2009	end of
David Beckham Academy	California branch	dissolved on date
David Beckham's Soccer USA	football highlights and general discussion show	instance of game
David Beckham's Soccer USA	Tim Lovejoy	presenter of television program
David Beckham's Soccer USA	Five	producer
David Beckham's Soccer USA	David Beckham's move to Los Angeles Galaxy	began following
David Beckham	David Beckham's Soccer USA	contributor to
David Beckham's Soccer USA	British sports personality	guest
Special guest	their career and their views on Major League Soccer	topic of discussion
A version of David Beckham's Soccer USA	Natalie Pinkham	host
Fishing Lake	Saskatchewan	located in administrative territorial entity
Fishing Lake	Highway 5	situated between
Fishing Lake	Highway 16	situated between
Fishing Lake	Foam Lake	located east of
Fishing Lake	22 km	coastline length
Fishing Lake	Wadena	located east of
Fishing Lake	24 km	located east of
Fishing Lake	no effective outlet channel	have had
Fishing Lake	flooding	tends to
2007	Record floods	instance of game
Government of Saskatchewan	lower the level of the lake	action taken during
Government of Saskatchewan plan	digging a drainage channel	involved
Fishing Lake First Nation	Government of Saskatchewan plan	argument against
Flood control berms	drainage channel	constructed
Neosho State Fishing Lake	Lake McKinley	has alternative name
Neosho State Fishing Lake	Kansas	located in administrative territorial entity
Neosho State Fishing Lake	Parsons	located east of
Neosho State Fishing Lake	5 mi on highway 59	located east of
Neosho State Fishing Lake	Parsons	located east of
Neosho State Fishing Lake	4 mi on 40th Rd	distance east of Parsons
Neosho State Fishing Lake	1927	student completion date
Neosho State Fishing Lake	92 acre	drainage area
Neosho State Fishing Lake	124 public use acres surrounding the lake	location of use
Neosho State Fishing Lake park	a shelter house	offers amenity
Neosho State Fishing Lake park	fishing piers	offers amenity
Neosho State Fishing Lake park	picnic tables	offers amenity
Neosho State Fishing Lake park	barbecue grills	offers amenity
Neosho State Fishing Lake park	vault toilets	offers amenity
Neosho State Fishing Lake park	water hydrant	offers amenity
Catch and release youth fishing pond	Lake McKinley dam	located at the site
Catch and release youth fishing pond	anglers age 15 and under	applies to
Catch and release youth fishing pond	accompanying adult	stated requirement
Neosho State Fishing Lake	Kansas Department of Wildlife and Parks	operator for
Higgins Lake	Roscommon County	located in administrative territorial entity
Higgins Lake	Michigan	located in the administrative region
Higgins Lake	large recreational and fishing lake	description
Higgins Lake	10th largest in Michigan	rank among
Higgins Lake	21 mi	coastline length
Higgins Lake	40 km²	area
Higgins Lake	deep waters	notable feature
Higgins Lake	clear waters	notable feature
University of Vermont	Vermont Catamounts men's soccer team	is a subsidiary or part of
Vermont Catamounts men's soccer team	America East Conference	member of sports league
University of Vermont	2014–15 Vermont Catamounts men's basketball team	is a subsidiary or part of
2014–15 Vermont Catamounts men's basketball team	2014–15 NCAA Division I men's basketball season	season
2014–15 Vermont Catamounts men's basketball team	John Becker	coach
2014–15 Vermont Catamounts men's basketball team	Patrick Gym	located in venue
2014–15 Vermont Catamounts men's basketball team	America East Conference	member of sports league
2014–15 Vermont Catamounts men's basketball team	20–14	record held by
2014–15 Vermont Catamounts men's basketball team	12–4	conference season record
2014–15 Vermont Catamounts men's basketball team	tie for second place	final standing in league
2014–15 Vermont Catamounts men's basketball team	semifinals of the America East Tournament	tournament victory
semifinals of the America East Tournament	Stony Brook Seawolves men's basketball	defeated by
2014–15 Vermont Catamounts men's basketball team	College Basketball Invitational	participated in
College Basketball Invitational	Hofstra Pride men's basketball team	defeated team in first round
College Basketball Invitational	Radford Highlanders men's basketball team	defeated team in quarterfinals
Louisiana–Monroe Warhawks men's basketball	2014–15 Vermont Catamounts men's basketball team	defeated by
2015–16 Vermont Catamounts men's basketball team	University of Vermont	member of sports league
2015–16 Vermont Catamounts men's basketball team	2015–16 NCAA Division I men's basketball season	sports season length
2015–16 Vermont Catamounts men's basketball team	John Becker	head coach
2015–16 Vermont Catamounts men's basketball team	Patrick Gym	located in venue
2015–16 Vermont Catamounts men's basketball team	America East Conference	member of sports league
2015–16 Vermont Catamounts men's basketball team	23–14	record held by
2015–16 Vermont Catamounts men's basketball team	11–5	conference record
2015–16 Vermont Catamounts men's basketball team	tie for third place	conference standing
2015–16 Vermont Catamounts men's basketball team	America East Tournament	competed in tournament
Stony Brook Seawolves men's basketball	2015–16 Vermont Catamounts men's basketball team	defeated by
2015–16 Vermont Catamounts men's basketball team	College Basketball Invitational	participated in tournament
Mignon	opéra comique	genre
Mignon	opera in its second version	description
Mignon	three	has number of members
Mignon	Ambroise Thomas	composer
original French libretto	Jules Barbier and Michel Carré	author
original French libretto	Wilhelm Meisters Lehrjahre	based on literary work
Italian version	Giuseppe Zaffira	translated from language
Mignon	The Dead	mentioned in
Mignon	The Professor's House	mentioned in
Mignon Nevada	Ambroise Thomas	child of
Mignon Nevada	Mignon	named after
Teatro Giuseppe Verdi	opera house	instance of game
Teatro Giuseppe Verdi	Rocca dei Marchesi Pallavicino	built structure
Teatro Giuseppe Verdi	Piazza Giuseppe Verdi	located on street or path
rocca or fortress	13th century	time of first use
City Hall	Fortress	instance of game
Fortress	1856	date of acquisition
The theatre	15 August 1868	publication time
The theatre	300	seat location
