head	tail	relation
SS "Brown Victory"	Oregon Shipbuilding yards	commissioning date
SS "Brown Victory"	Victory type ship constructed for the Maritime Commission	instance of
SS "Brown Victory"	Alaska Packers Company	operator
SS "Brown Victory"	United States Merchant Marine act	function to regulate
SS "Brown Victory"	War Shipping Administration	operated as
ARA "Gómez Roca" (P-46)	MEKO 140A16 "Espora" class	instance of
ARA "Gómez Roca" (P-46)	corvette	instance of
ARA "Gómez Roca" (P-46)	Sergio Gómez Roca	is named after
Sergio Gómez Roca	ARA "Alferez Sobral"	commanded
Sergio Gómez Roca	Falklands War	participated in
ARA "Alferez Sobral"	Sergio Gómez Roca	place of death
ARA "Gómez Roca" (P-46)	"Seaver"	original name
"Seaver"	Benjamin Seaver	is named after
Benjamin Seaver	US-born naval hero of the Argentine War of Independence	instance of
SS "Middlebury Victory"	Victory-class cargo ship	instance of
SS "Middlebury Victory"	World War II	built by
SS "Middlebury Victory"	MCV-726	has official designation
SS "Middlebury Victory"	VC2-S-AP2 victory ship	instance of
Maritime Administration cargo ship	726	sequence number
SS "Middlebury Victory"	armed cargo ship	instance of
Dwight Davis	retired American professional basketball player	instance of
Dwight Davis	University of Houston	educated at
Dwight Davis	1969–72	time period of
Dwight Davis	3rd overall pick of 1972 NBA draft	drafted
Dwight Davis	Cleveland Cavaliers	selected by
Dwight Davis	Double D	nickname given by
Dwight Davis	five seasons in the NBA	career duration
Dwight Davis	Cleveland Cavaliers	member of sports team
Cleveland Cavaliers	1972–75	playoff streak
Dwight Davis	Golden State Warriors	member of sports team
Golden State Warriors	1975–77	playoff streak
Dwight Davis	6 ft 8 in	height
Dwight Davis	forward	plays the position
Dwight Davis	8.6 points	average score
Dwight Davis	340 career regular season games	sport played
Hall of Honor (University of Houston)	Dwight Davis	honors
Dwight Davis	November 2006	honors
Dwight Davis	rebounding	notable
Dwight Davis	blocked shots	notable
Dwight Davis	scoring	notable
Dwight Davis	John Lynch	appointed to
N.H. Workforce Youth Council	Dwight Davis	member of
Dwight Davis	2007	date of appointment
N.H. Workforce Youth Council	Dwight Davis	chairperson
Dwight Davis	2008	year of
Dwight Davis	Greater Seacoast United Way	board member of
Dwight Davis	working with at risk teens	activity
The Four Seasons	The Wonder Who?	is an alias
The Wonder Who?	four single records	produced
The Wonder Who?	1965 to 1967	time period of activity
The Four Seasons	The Wonder Who?	is an alias
Frankie Valli	The Four Seasons	artist of work
The Four Seasons	The Valli Boys	is an alias
falsetto singing by Valli	The Wonder Who? recordings	featured in
falsetto singing by Valli	softer than on "typical" Four Seasons recordings	property
"Dawn (Go Away)"	song	instance of
"Dawn (Go Away)"	Bob Gaudio and Sandy Linzer	written by
"Dawn (Go Away)"	The Four Seasons	recorded during
"Dawn (Go Away)"	early January 1964	date of recording
The Four Seasons	Vee-Jay Records	involved in dispute with
The Four Seasons	Vee-Jay Records	recorded work
Vee-Jay Records	breach of contract	claims
dispute	1965	settlement period
Beautiful Eyes	extended play by Taylor Swift	instance of
Beautiful Eyes	Big Machine Records	publisher
Beautiful Eyes	released exclusively to Walmart stores in the United States and online	distribution location
Beautiful Eyes	country pop sound	genre
Beautiful Eyes	a DVD featuring music videos of singles from "Taylor Swift"	contains
"Begin Again"	song by Taylor Swift	instance of
"Begin Again"	Taylor Swift	executive producer
"Begin Again"	Big Machine Records	publisher
"Begin Again"	country song	genre
"Begin Again"	Taylor Swift falling in love again after a failed relationship	subject is
"White Horse"	song performed by Taylor Swift	instance of
"White Horse"	Taylor Swift and Liz Rose	author of work
"White Horse"	Big Machine Records	publisher
"White Horse"	the second single from Taylor Swift's second studio album "Fearless" (2008)	released as
"White Horse"	Taylor Swift and Liz Rose	composer
White Horse	the moment where Taylor Swift accepted that the relationship was over	topic discussed
White Horse	sparse production to emphasize vocals	role in production
White Horse	disillusionment and pain in a relationship	lyrical themes
White Horse	fairytales	references work
Yodel It!	song recorded by Romanian singers Ilinca and Alex Florea	instance of
Yodel It!	30 January 2017	date of publication
Yodel It!	Cat Music	record label
Yodel It!	Alexandra Niculae	author of work
Yodel It!	Mihai Alexandru	executive producer
Yodel It!	Swiss band Timebelle	was rejected by
Yodel It!	Ilinca to record	was provided to
Florea	featured artist	role
Mihai Alexandru and Ilinca	Florea's version was incomplete	opinion on
Yodel It!	Ilinca yodeling during the chorus	musical style
Yodel It!	Florea's rap vocals	musical style
Klaipėda Revolt	January 1923	start time
Klaipėda Revolt	Klaipėda Region	location in
Klaipėda Region	Memel Territory	alternative name
Klaipėda Region	Memelland	alternative name
Klaipėda Region	north of the Neman River	geographical feature has location
Klaipėda Region	Treaty of Versailles	dissolved
Klaipėda Region	a mandate of the League of Nations	notable status
Klaipėda Region	provisional French administration	part of the administrative body
Lithuania	Klaipėda Region	annexation year
Klaipėda Region	Lithuania Minor	is part of
Klaipėda	Memel	alternative name
Klaipėda	the only viable access to the Baltic Sea for Lithuania	is a description of
Conference of Ambassadors	leaving the region as a free city	advocated for
Free City of Danzig	Free City status for Klaipėda Region	is similar to
Lithuanians	a revolt	commissioned
Revolt	Lithuanians	event associated with
Constitutional Court of the Republic of Lithuania	"Lietuvos Respublikos Konstitucinis Teismas"	surname
Constitutional Court of the Republic of Lithuania	Constitution of the Republic of Lithuania of 1992	established as
Constitutional Court of the Republic of Lithuania	Vilnius	part of the administrative territorial entity
Constitutional Court of the Republic of Lithuania	Gediminas Avenue	address
Ingrida Ardišauskaitė	17 January 1993	date of birth
Ingrida Ardišauskaitė	retired Lithuanian cross-country skier	occupation
Tauras Tunyla	Lithuanian racer	occupation
Tauras Tunyla	Gintaras Tunyla	coach in league
Tauras Tunyla	5 years	age requirement
Tauras Tunyla	1998	start year
Tauras Tunyla	vice-champion of Lithuania in 2000	achievement
Tauras Tunyla	first Lithuanian championship in 2001	achievement
Tauras Tunyla	five time champion of Lithuania	achievement
Lake Dysnai	second largest lake in Lithuania	is a description of
Sarah Price	Christian fiction novelist	instance of
Sarah Price	author	instance of
Sarah Price	over 40 books	author of work
The Hot Chick	2002 American comedy film	instance of
The Hot Chick	a teenage girl whose body is magically swapped with that of a 30-year-old criminal	subject is
The Hot Chick	Tom Brady	director
The Hot Chick	John Schneider	executive producer
The Hot Chick	Carr D'Angelo	executive producer
The Hot Chick	Happy Madison	role in production
The Hot Chick	Touchstone Pictures	role in production
The Hot Chick	Rob Schneider	writer
The Hot Chick	Rob Schneider	writer
The Hot Chick	Rob Schneider	cast member
The Hot Chick	Rachel McAdams	cast member
Rachel McAdams' character in The Hot Chick	Jessica	main character
Jessica	Jessica's body	subject is
Jessica	awkward social situations	address
The Hot Chick	isolation	themes
The Hot Chick	fear	themes
The Hot Chick	the power of imagination	themes
The Hot Chick	a critical success	statement
The Hot Chick	a commercial success	statement
The Hot Chick	comic book	adapted to
The Hot Chick	stage play	adapted to
Deuce Bigalow: Male Gigolo	sex comedy film	instance of
Deuce Bigalow: Male Gigolo	Mike Mitchell	director
Mike Mitchell	his feature debut	first film for
Deuce Bigalow: Male Gigolo	Harris Goldberg	writer
Deuce Bigalow: Male Gigolo	Rob Schneider	writer
Deuce Bigalow: Male Gigolo	Rob Schneider	cast member
Schneider's character in Deuce Bigalow: Male Gigolo	hapless fishtank cleaner	instance of
Schneider's character in Deuce Bigalow: Male Gigolo	male prostitute	occupation
Schneider's character in Deuce Bigalow: Male Gigolo	to earn enough money to repair damage he caused while house-sitting	occupation
Deuce Bigalow: Male Gigolo	Happy Madison Productions	role in production
Rob (TV series)	American sitcom television series	instance of
Rob (TV series)	CBS	network
Rob (TV series)	8:30 pm (ET)	premiere
Rob (TV series)	Rules of Engagement	replaces
Rob (TV series)	Rob Schneider	cast member
Rob (TV series)	Cheech Marin	cast member
Rob (TV series)	Claudia Bassols	cast member
Rob (TV series)	Diana Maria Riva	cast member
Johnnie Casson	an English comedian	is
Johnnie Casson	British television	has appeared on
Johnnie Casson	ITV's "The Comedians"	appear on
Johnnie Casson	"Des O'Connor Tonight"	appear on
The Comedians	a British television show of the 1970s	is
The Comedians	the mid-1980s	resumed after
The Comedians	the early 1990s	resumed after
The Comedians	Johnnie Hamp	produced
The Comedians	Granada Television	produced
The Comedians	nightclub comedians of the era	reached stage
The Comedians	working men's club comedians of the era	reached stage
The Comedians	Russ Abbot	not included on
The Comedians	Lennie Bennett	not included on
The Comedians	Stan Boardman	not included on
The Comedians	Jim Bowen	not included on
The Comedians	Jimmy Bright	not included on
The Comedians	Duggie Brown	not included on
The Comedians	Mike Burton	not included on
The Comedians	Jimmy Jones	not included on
The Comedians	Dave Butler	not included on
The Comedians	Brian Carroll	not included on
The Comedians	Frank Carson	not included on
The Comedians	Mike Coyne	not included on
The Comedians	Jimmy Cricket	not included on
The Comedians	Colin Crompton	not included on
The Comedians	Pauline Daniels	not included on
The Comedians	Charlie Daze	not included on
The Comedians	Vince Earl	not included on
The Comedians	Steve Faye	not included on
The Comedians	Eddie Flanagan	not included on
The Comedians	Stu Francis	not included on
The Comedians	Ken Goodwin	not included on
The Comedians	Jackie Hamilton	not included on
The Comedians	Jerry Harris	not included on
The Comedians	George King	not included on
The Comedians	Bobby Knutt	not included on
The Comedians	Bernard Manning	not included on
The Comedians	Mike McCabe	not included on
The Comedians	Paul Melba	not included on
The Comedians	Mick Miller	not included on
The Comedians	Hal Nolan	not included on
The Comedians	Tom O'Connor	not included on
The Comedians	Tom Pepper	not included on
The Comedians	Bryn Phillips	not included on
The Comedians	Mike Reid	not included on
The Comedians	George Roper	not included on
The Comedians	Harry Scott	not included on
The Comedians	Sammy Thomas	not included on
The Comedians	Johnny Wager	not included on
The Comedians	Roy Walker	not included on
The Comedians	Charlie Williams	not included on
The Comedians	Lee Wilson	not included on
Arden Theatre Company (Stockton-on-Tees)	regional theatre company	instance of
Arden Theatre Company (Stockton-on-Tees)	2002	establishment time
Arden Theatre Company (Stockton-on-Tees)	Robert Icke	founder of
Arden Theatre Company (Stockton-on-Tees)	Daniel Hill	founder of
Arden Theatre Company (Stockton-on-Tees)	Andrew Berriman	founder of
Arden Theatre Company (Stockton-on-Tees)	David Kirkbride	founder of
Arden Theatre Company (Stockton-on-Tees)	one of the premier theatre companies in the region	is a description of
Arden Theatre Company (Stockton-on-Tees)	ARC	location in
Arden Theatre Company (Stockton-on-Tees)	youth-only company	form
Julius Caesar	Arden Theatre Company (Stockton-on-Tees)	first production of
Arden Theatre Company (Stockton-on-Tees)	2003	production start year
Field Day Theatre Company	artistic collaboration	form
Field Day Theatre Company	Brian Friel	founder of
Field Day Theatre Company	Stephen Rea	founder of
Translations	Brian Friel and Stephen Rea	first production of
Brian Friel and Stephen Rea	1980	date of proceeding
Brian Friel and Stephen Rea	Derry	action
Brian Friel and Stephen Rea	a major theatre company for Northern Ireland	founder of
Production and performance of "Translations"	a level of excitement and anticipation	effect
Aid to Russia Fund	Фонд помощи России	name in Russian
Red Cross Aid to Russia Fund	Mrs. Clementine Churchill	chairperson
Mrs. Clementine Churchill	World War II	time period of activity
Mind The Gap (MTG) Theatre Company	Paula D'Alessandris	founder of
Mind The Gap (MTG) Theatre Company	1998	inception period
Mind The Gap (MTG) Theatre Company	export some of America's unknown theatrical talent to the United Kingdom	purpose of
Mind The Gap (MTG) Theatre Company	an Anglo-American repertory company of actors and writers	features
Mind The Gap (MTG) Theatre Company	New York City	headquarters location
Mind The Gap (MTG) Theatre Company	an assortment of British theatre agencies	achieved tie with
Mind The Gap (MTG) Theatre Company	a literary staff that reads hundreds of new scripts each year	member of staff
MTG’s Board of Advisors	Dame Helen Mirren	member of
MTG’s Board of Advisors	Dame Judi Dench	member of
Dame Helen Mirren and Dame Judi Dench	2001	start time
Twin Tower Sanctuary	historic Methodist church building	instance of
Twin Tower Sanctuary	1898	date of completion
Twin Tower Sanctuary	city's large Methodist population	uses
Twin Tower Sanctuary	William Arthur Bennet	architect
William Arthur Bennet	Prairie School works	known for work
Twin Tower Sanctuary	Queen Anne style	architectural style
two hexagonal towers	north side of the church	is feature of
two hexagonal towers	Twin Tower Sanctuary	named
interior of the church	Sullivanesque patterned tin ceiling	has feature
Sullivanesque patterned tin ceiling	best-preserved example of a Sullivanesque tin ceiling in the country	is an
Sullivanesque patterned tin ceiling	Louis Sullivan scholar Tim Samuelson	described by
Craniopagus twins	conjoined twins	instance of
Craniopagus twins	cranium	fused at
Craniopagus twins condition	about 10–20 babies in every million births in the United States	frequency
cephalic conjoining	2–6% of all conjoined twins	proportion of
Conjoined twins	Genetically identical	instance of
Conjoined twins	Same sex	shared
Craniopagus twins	Any portion of the calvarium	part of union
Craniopagus twins	The face	part of union
Craniopagus twins	The foramen magnum	part of union
Craniopagus twins	Separate thorax and abdomen	has
Each twin	Its own umbilicus	has
Each twin	Its own umbilical cord	has
Craniopagus twins	The entire diameter of the head	part of union
Craniopagus twins	Only a small portion	part of union
Craniopagus twins	Rotation of one twin's skull to the other	variant of
Phenotypic sub-groups of craniopagus twins	All these rotational conformations	is based on
Rotation of one twin's skull to the other	The development of the brain	impacts
Rotation of one twin's skull to the other	The vascular system within the brain	impacts
Rotation of one twin's skull to the other	Overall wellness of life of the twins outside the womb	impacts
Spot of union	the development of the brain	effect
Spot of union	the vascular system within the brain	effect
Spot of union	overall wellness of life of the twins outside the womb	effect
Relatively few craniopagus twins	the perinatal period	is until
Conjoined twins	approximately 40%	month of birth
Additional 33% of conjoined twins	the immediate perinatal period	died
Death within the immediate perinatal period	organ abnormalities and failure	is caused by
West Wales Raiders Rugby League	Raiders RL	former name
West Wales Raiders Rugby League	the most established Rugby league club in West Wales	is a description of
West Wales Raiders Rugby League	January 2015	inception period
West Wales Raiders Rugby League	Stebonheath Park in Llanelli	part of the administrative territorial entity
West Wales Raiders Rugby League	Gwendreath Valley Raiders	former name
West Wales Raiders Rugby League	Llanelli	part of the administrative territorial entity
West Wales Raiders Rugby League	Conference League South	member of sports team
Conference League South	level 4 of the Rugby League system	is a description of
West Wales Raiders Rugby League	a local club	is a description of
West Wales Raiders Rugby League	more proactive than some of their professional counterparts	is a description of
West Wales Raiders Rugby League	visits all the local schools	activity
West Wales Raiders Rugby League	delivers rugby league training to pupils	activity
West Wales Raiders Rugby League	Warpigs from Swansea University	works with
Warpigs from Swansea University	one of the oldest university rugby league teams in Wales	is a description of
West Wales Raiders Rugby League	the university rugby league team	operated on behalf of
West Wales Raiders Rugby League	2017	date of start
NRL All Stars team	rugby league football team	instance of
NRL All Stars team	professional players in the National Rugby League	composed of
NRL All Stars team players	fan vote	selection
fans	one player from each NRL team	selection
fans	Australian rugby league team captain	selection
fans	New Zealand national rugby league team captain	selection
NRL All Stars coach	Two other players	selection
NRL All Stars team	the annual NRL All Stars Game	participant
NRL All Stars Game	the Indigenous All Stars	opponent in final
NRL All Stars team	a World All Stars	replaces
New South Wales Women's Rugby League	governing body of female rugby league in New South Wales	instance of
New South Wales Women's Rugby League	Australian Women's Rugby League	member of
New South Wales Women's Rugby League	New South Wales Rugby League	member of
New South Wales Women's Rugby League	the New South Wales Women's rugby league team	operated on behalf of
Women's City vs Country Origin	New South Wales Women's Rugby League	administered by
Sydney Metropolitan Women's Rugby League	New South Wales Women's Rugby League	administered by
Country Rugby League Women's RL competitions	New South Wales Women's Rugby League	administered by
Country New South Wales rugby league team	representative rugby league football team	instance of
Country New South Wales rugby league team	professional players	collection
professional players	clubs of the Country Rugby League	originated from
Country Rugby League	one of two federations in the state of New South Wales	instance of
Born 2 B.R.E.E.D.	single	instance of
Born 2 B.R.E.E.D.	Monie Love	author of work
Born 2 B.R.E.E.D.	Prince	author of work
Born 2 B.R.E.E.D.	Levi Seacer Jr.	author of work
Born 2 B.R.E.E.D.	In a Word or 2	series
B.R.E.E.D.	Build Relationships where Education and Enlightenment Dominate	abbreviation
Section.80	debut studio album	instance of
Section.80	Top Dawg Entertainment	publisher
Section.80	GLC	featured artist
Section.80	Colin Munroe	featured artist
Section.80	Ashtrobot	featured artist
Section.80	BJ the Chicago Kid	featured artist
Section.80	Schoolboy Q	featured artist
Section.80	Ab-Soul	featured artist
Section.80	Alori Joh	featured artist
Section.80	Top Dawg Entertainment	executive producer
Section.80	THC	executive producer
Section.80	Tommy Black	executive producer
Section.80	Wyldfyer	executive producer
Section.80	Terrace Martin	executive producer
Section.80	J. Cole	executive producer
Kendrick Lamar	Section.80	lyrical themes
Section.80	1980s crack epidemic	thematic focus
Section.80	racism	thematic focus
Section.80	medication tolerance	thematic focus
HiiiPoWeR	Section.80	lead vocal
Townes	album by Steve Earle	instance of
Townes	2009	date of publication
Townes	Townes Van Zandt	last album featuring
Townes Van Zandt	singer-songwriter	instance of
Townes Van Zandt	Townes	composer
"Pancho & Lefty"	Guy Clark	performer
"Lungs"	Guy Clark	performer
"Sunday Morning" (Maroon 5 song)	song	instance of
"Songs About Jane"	"Sunday Morning" (Maroon 5 song)	featured appearance
"Sunday Morning" (Maroon 5 song)	number 31 in the United States	chart position
"Sunday Morning" (Maroon 5 song)	Maroon 5's fourth Top 40 single	achievement
"Sunday Morning" (Maroon 5 song)	number 27 in the United Kingdom	chart position
"Sunday Morning" (Maroon 5 song)	number 27 in Australia	chart position
"If I Never See Your Face Again"	song	instance of
"If I Never See Your Face Again"	"It Won't Be Soon Before Long" (2007)	recorded album
"If I Never See Your Face Again"	"Good Girl Gone Bad" (2007)	recorded album
"If I Never See Your Face Again"	Adam Levine	author of work
"If I Never See Your Face Again"	James Valentine	author of work
"If I Never See Your Face Again"	Christopher "Tricky" Stewart	executive producer
"If I Never See Your Face Again"	Mike Elizondo	executive producer
"If I Never See Your Face Again"	Mark Endert	executive producer
"If I Never See Your Face Again"	Mark "Spike" Stent	executive producer
"If I Never See Your Face Again"	Maroon 5	director
Maroon 5's sixth studio album	forthcoming eponymous sixth studio album by American pop rock band Maroon 5	instance of
Maroon 5's sixth studio album	222	publisher
Maroon 5's sixth studio album	Interscope Records	publisher
"She Will Be Loved"	song by the American pop rock band Maroon 5	instance of
"She Will Be Loved"	Adam Levine	author of work
"She Will Be Loved"	James Valentine	author of work
"She Will Be Loved"	"Songs About Jane" (2002)	tracks
"She Will Be Loved"	No. 5 in the United States	chart position
"She Will Be Loved"	No. 4 in the United Kingdom	chart position
"She Will Be Loved"	No. 1 in Australia	chart position
"She Will Be Loved"	held No. 1 position for five non-consecutive weeks in Australia	chart achievement
Syracuse	historic city in Sicily	instance of
Syracuse	Province of Syracuse	capital of
Syracuse	rich Greek history	notable work
Syracuse	culture	notable work
Syracuse	amphitheatres	notable work
Syracuse	architecture	notable work
Archimedes	Syracuse	place of birth
Archimedes	preeminent mathematician and engineer	instance of
Syracuse	ancient times	is significant in
Syracuse	one of the major powers of the Mediterranean world	is a description of
Syracuse	southeast corner of the island of Sicily	part of the administrative territorial entity
Syracuse	Gulf of Syracuse	located in front of
Gulf of Syracuse	Ionian Sea	located in front of
Montes Archimedes	mountain range on the Moon	instance of
Montes Archimedes	crater Archimedes	is named after
Archimedes (crater)	Montes Archimedes	located north of
Archimedes (crater)	Archimedes	is named after
Trinacria	triquetra	has meaning
Trinacria	Sicily	shape
Sicily	largest island in the Mediterranean Sea	is an
Sicily	Trinacrium	is named after
Trinacrium	star with three points	meaning
Trinacria symbol	head of Medusa	is
Medusa	gorgon with a head of snakes	instance of
Trinacria symbol	three bent running legs	contained within
Trinacria symbol	three stalks of wheat	contained within
Sicilian government	Trinacria symbol	name adopted
Trinacria symbol	center of Sicily's flag	is located on
Trinacria's shape	triskelion	usually referred to as
triskelion shape	Mediterranean Basin region	is found in
Triskelion	many European countries	located in
France	many European countries	located in
Sicily	many European countries	located in
Crete	many European countries	located in
Greece	many European countries	located in
the North African coast	many European countries	located in the region
the Isle of Man	many European countries	located in
Triskelion	after the eighth century BC	date of creation
Archimedean	of or pertaining to or named in honor of the Greek mathematician Archimedes	defined as
Archaic Greece	Greek history	period
Archaic Greece	eighth century BC	date of start
Archaic Greece	second Persian invasion of Greece in 480 BC	end date of
Archaic Greece	Greek Dark Ages	followed by
Classical period	Archaic Greece	followed by
Archaic Greece period	massive increase in the Greek population	began
Archaic Greece period	series of significant changes	start time
Bhau Panchbhai	Marathi poet	instance of
Bhau Panchbhai	writer	instance of
Bhau Panchbhai	Dalit activist	instance of
Bhau Panchbhai	1 March 1944	date of birth
Bhau Panchbhai	21 January 2016	date of death
Bhau Panchbhai	Hunkaar Vadaalnche (हुंकार वादळांचे)	author of work
Hunkaar Vadaalnche (हुंकार वादळांचे)	Government of Maharashtra	award received during
Hunkaar Vadaalnche (हुंकार वादळांचे)	best poetry collection	award given to
Hunkaar Vadaalnche (हुंकार वादळांचे)	1989	date of publication
Bhau Panchbhai's poetry	prototype of Ambedkarite poetry	instance of
Bhau Panchbhai's poetry	various languages including English	translation
Bhau Panchbhai	Nagpur	residence
Bhau Panchbhai	lawyer	occupation
Nikki Giovanni	African-American poet	instance of
Nikki Giovanni	Langston Hughes Medal	award received during
Nikki Giovanni	NAACP Image Award	award received during
Nikki Giovanni	Grammy Award	nominated for award
Grammy Award nomination	The Nikki Giovanni Poetry Collection	nominated for award
Nikki Giovanni	Oprah Winfrey's Living Legends	recognized as
Soma Mei Sheng Frazier	biracial American author	instance of
Nomadic Press	Soma Mei Sheng Frazier	publisher of work
Soma Mei Sheng Frazier's forthcoming chapbook	March 2016	date of publication
Collateral Damage: A Triptych	debut fiction collection by Soma Mei Sheng Frazier	instance of
Collateral Damage: A Triptych	Daniel Handler	praised by
Collateral Damage: A Triptych	Nikki Giovanni	praised by
Collateral Damage: A Triptych	Antonya Nelson	praised by
Collateral Damage: A Triptych	Sarah Shun-lien Bynum	praised by
Staffordshire helmet	Anglo-Saxon helmet	instance of
Staffordshire helmet	2009	date of discovery
Staffordshire helmet	Staffordshire Hoard	is part of
Staffordshire Hoard	the largest discovery of contemporary gold and silver metalwork in Britain	is a description of
Staffordshire helmet	the sixth known Anglo-Saxon helmet	is a description of
Staffordshire helmet	helmets found at Benty Grange	establishing precedent for
Staffordshire helmet	helmets found at Sutton Hoo	establishing precedent for
Staffordshire helmet	helmets found at Coppergate	establishing precedent for
Staffordshire helmet	helmets found at Wollaston	establishing precedent for
Staffordshire helmet	helmets found at Shorwell	establishing precedent for
Head Impact Telemetry System technology	Simbex	developer
Head Impact Telemetry System technology	National Institutes of Health	developed with support from
National Institutes of Health	R44HD40743	grants
National Institutes of Health	R01HD048638	grants
Head Impact Telemetry System technology	"in vivo" head impact exposure	measures
"in vivo" head impact exposure	frequency of head impact	has part of
"in vivo" head impact exposure	location of head impact	has part of
"in vivo" head impact exposure	kinematics of head impact	has part of
core technology	array of non-orthogonal accelerometers	has part of
core technology	data acquisition	has part of
core technology	RF telemetry hardware	has part of
core technology	post-processing software	has part of
variety of sport applications	core technology	applies to
military applications	core technology	applies to
core technology	relationship between head kinematics and brain injury	investigates
improved helmet design	research	result of
improved testing methods	research	result of
changes to sporting rules and regulations	research	result of
novel approaches to improve player safety	research	result of
Riddell’s Sideline Response System	HIT System technology	has feature
Riddell’s Sideline Response System	real-time monitoring tool	instance of
Riddell’s Sideline Response System	American football teams	widely used by
Riddell’s Sideline Response System	athlete’s head impact exposure	manager
English riding	form of horse riding	instance of
English riding	throughout the world	uses
English riding variations	flat English saddle	features
flat English saddle	deep seat	lacked
flat English saddle	high cantle	lacked
flat English saddle	saddle horn	lacked
Western saddle	deep seat	has
Western saddle	high cantle	has
Western saddle	saddle horn	has
Australian Stock Saddle	knee pads	has
Saddles within the various English disciplines	horse the freedom to move in the optimal manner for a given task	allows entry to
Defendant (TV series)	South Korean television series	instance of
Defendant (TV series)	Ji Sung	cast member
Defendant (TV series)	Um Ki-joon	cast member
Defendant (TV series)	Kwon Yu-ri	cast member
Defendant (TV series)	Oh Chang-seok	cast member
Defendant (TV series)	Uhm Hyun-kyung	cast member
Defendant (TV series)	SBS	network
Defendant (TV series)	Mondays and Tuesdays	date of broadcast
Defendant (TV series)	22:00 (KST)	date of broadcast
Defendant (TV series)	18	episode number
Doris Young Siew Keen	Singapore	citizenship
Doris Young Siew Keen	Singaporean actress	instance of
Doris Young Siew Keen	Marrie Lee	stage name used from
Marrie Lee	18	age at time of first major role
They Call Her Cleopatra Wong	Marrie Lee	main character
"They Call Her Cleopatra Wong"	martial arts film	instance of
"They Call Her Cleopatra Wong"	female Interpol agent	subject is
"They Call Her Cleopatra Wong"	Bobby A. Suarez	director
1979's "Dynamite Johnson"	Marrie Lee	cast member
Marrie Lee	Johnson Yap	collaborator
Johnson Yap	10-year-old Singaporean tae kwon do practitioner	is a description of
Johnson Yap	"Bionic Boy"	not found in
"Bionic Boy"	1978 film	instance of
"Bionic Boy"	Bobby A. Suarez	writer
"The Devil's Three"	Marrie Lee	cast member
Cleopatra Wong	all-female team of crimefighters	lead vocal
all-female team of crimefighters	the Philippines	setting of
9-man	team sport	instance of
9-man	volleyball	influence on
9-man	nine players per side	has feature
9-man	slightly larger court	uses
slightly larger court	10 by 20 meters	dimension
9-man	Chinese immigrants to the US	historically associated with
Chinese immigrants to the US	Toisan (Taishan) city in Guangdong province of China	originates in
9-man	laborers in Chinatowns across the United States	uses term for
Chinatowns in other large US and Canadian cities	first organized nine-man tournament	spread
North American version of 9-Man	today	grown in
North American version of 9-Man	popular rotating tournament called the NACIVT	has
NACIVT	thousands of players and spectators each September over Labor Day weekend	amalgamated with
